,Astro,CA1sp,CA1sp.SUB.sp.Kcnip1,CA2sp.IG,CA3sp,Car3,CR,DG,Endo,IT.RHP.Dcn,L2.3.IT.Cdc14a,L2.3.IT.Cxcl14,L2.3.IT.Ndst4.Endou,L2.3.IT.Otof,L2.3.IT.Plch1,L4.IT,L4.5.IT,L5.ET,L5.IT,L6.CT,L6.IT,L6b,Lamp5,Lamp5.Lhx6,Ly6g6e,Macrophage,Meis2,NP,Oligo,PIR.Six3,POST.PRE.PAR.Ptgfr,Pvalb,RHP.Cplx3,RSP_ACA.IT.Scnn1a,RSP.ACA.L4.5.IT,Serpinf1,SMC,Sncg,Sncg.Ndnf.HPF,Sst,Sst.Chodl,SUB.Sp.Ndst4,Vip,VLMC
Sample_041615_86_AdultHet_H5TJTBBXX,0.06969843904681383,0.0318565141995496,0.011176594438426498,0.0,0.04793218767860008,0.007489927338210077,0.0,0.0,0.0027141599246059142,0.03878438542518205,0.0,0.0,0.006560709054245581,0.03504549516251723,0.007175107682863388,0.04697254066610703,0.15152810310128875,0.13312111923442502,0.0,0.024378510427449058,0.0,0.0,0.08682115353362968,0.0,0.0,0.009991840620004848,0.0,0.0,0.04887597529288123,0.05121320762381331,0.0,0.05794752499893204,0.01778624926586747,0.0,0.0,0.021162153145159658,0.0011025966429592264,0.028233343454428936,0.0,0.016118871413389513,0.0011104518630672155,0.0,0.036808965656075235,0.008393873109507692
Sample_070415_114_AdultHet_H5TJTBBXX,0.06586715802915168,0.0019412944108253133,0.010686889598677276,0.0,0.0556520275335525,0.0,0.0,0.0,0.02455857557010273,0.021464504154455964,0.0,0.0,0.006783325734549808,0.0629392109622457,0.0064894285814308525,0.06099057259546439,0.10510631210471108,0.1244463728252973,0.0,0.027686335978110325,0.0,0.0,0.07538917300459679,0.0,0.0,0.014682164717707802,0.0,0.0,0.04624640453423834,0.057592901159091464,0.0,0.05101564144469667,0.024081649692317245,0.0,0.032276868050059616,0.039243857259440004,0.0,0.009655121625396512,0.0,0.03521961249311055,0.001991135732792218,0.0,0.03285389765826498,0.005139564549713066
Sample_073014_29_AdultWT_H5TJTBBXX,0.07219325263880795,0.02709666473570109,0.0,0.0,0.05919900664369655,0.008815441118503402,0.0,0.0,0.010596387728202237,0.03651213901180667,0.0,0.0,0.012941550763577992,0.037884598433937544,0.01226564484090412,0.060359116970180524,0.11508093677791312,0.13400404413627073,0.0,0.023869723878672235,0.0,0.0,0.08218496368647346,0.0,0.0,0.008214435692795579,0.0,0.0,0.05174394185671292,0.049145646716481105,0.0,0.07415515488027383,0.013992853345114053,0.0,0.021816528889790503,0.025315784786327074,0.0,0.027582710228952742,0.0,0.0,0.004301543569399041,0.0,0.021481676520754056,0.009246252148751239
Sample_073014_31_AdultWT_H5TJTBBXX,0.0724938585940912,0.02188690372665779,0.0,0.0,0.04784954669076239,0.019856439189960974,0.0,0.0,0.019856568698447177,0.03368838222077409,0.0,0.0,0.012134477259646703,0.03757010413217796,0.006447275876070213,0.05223685472279361,0.13796125173210277,0.12364767216755808,0.0,0.02033091472778624,0.0,0.0,0.08806662378052292,0.0,0.0,0.012372418553393997,0.0,0.0,0.051724326621172635,0.06266399680113496,0.0,0.07067374857329013,0.014198560007425984,0.0,0.004225202156205807,0.01979521065295108,0.0,0.02173933830456564,0.0,0.0009367711136522262,0.0025257177280260477,0.0,0.03671846510211269,0.008399370866716892
Sample_090114_2_AdultWT_H5TJTBBXX,0.06932486033774918,0.014763767360818816,0.0,0.0,0.05734468678141399,0.005244374304565189,0.0,0.0,0.01856819737085924,0.0054441438187735215,0.0,0.0,0.0056897465058951486,0.05245647491626184,0.019200582521772536,0.0674376263279916,0.11376464126572837,0.11923816284541106,0.0,0.0340098625820164,0.0,0.0,0.08024655559968226,0.0,0.0,0.007921216036287234,0.0,0.00243902000652802,0.06174354927027839,0.06102146794901802,0.0,0.07531346351693544,0.012662985528445365,0.0,0.02034067332971586,0.024557053625062625,0.0011443467648437921,0.02369171728632789,0.0,0.01204522723233277,0.005381914268120445,0.0,0.02900368264716522,0.0
Sample_090614_24_AdultWT_H5TJTBBXX,0.07656385034934189,0.034577769790248694,0.0,0.0,0.048722946707413305,0.014041219817182447,0.0,0.0,0.006015815803806534,0.017724730670027288,0.0,0.0,0.0052341304799124935,0.04430859558231415,0.0,0.06191152444517212,0.12852693306348356,0.1403679283316491,0.0,0.02575735826717456,0.0,0.0,0.08297914883252243,0.0,0.0,0.013017888417568135,0.0,0.0,0.057536405603565724,0.049616324790639835,0.0,0.06873529419483006,0.015014725634960535,0.0,0.012587398106152179,0.010626423596010608,0.0,0.02681904513695976,0.0,0.014375510359223895,0.0013707382082451054,0.0,0.03915311018853317,0.004415183623062413
Sample_090614_3_AdultHet_H5TJTBBXX,0.07686504651290198,0.011932056082494273,0.001436276710915701,0.0,0.05055048667837507,0.0047843799830242445,0.0,0.0,0.02232542985201356,0.017964005017361288,0.0,0.0,0.001920744729779826,0.05252797392439677,0.0,0.07685852373491864,0.11802896987791095,0.1416406556675719,0.0,0.01804113100110352,0.0,0.0,0.07739422484957302,0.0,0.0,0.0040838123013066125,0.0,0.0,0.045513843321494794,0.06026101524505524,0.0,0.0665597604742483,0.017458539054256386,0.0,0.012558197242857448,0.03321515272785988,0.0,0.02964364871726048,0.0,0.015972574010155265,0.004732757966556694,0.0,0.03319769514659308,0.004533099170014909
Sample_121214_18_AdultHet_H5TJTBBXX,0.07618387674468294,0.024235271699316406,0.0,0.0,0.06669321194106821,0.008509132739433052,0.0,0.0,0.023388059743974617,0.03660235411251389,0.0,0.0,0.008320106989492398,0.040787473221748985,0.0058317345454925755,0.05452477494186302,0.132807313437431,0.12783769307041115,0.0,0.014491379566037427,0.0,0.0,0.0809201346255074,0.0,0.0,0.004279346209985564,0.0,0.0006143406452906038,0.05487681899637145,0.04366375049373245,0.0,0.06486659373848183,0.01643860593955563,0.0,0.0,0.022344058803314835,0.0,0.025781813425772848,0.0,0.01600319996459131,0.005253280949130298,0.0,0.03733569501145893,0.007409978443341321
Sample_1_Adult_WT_090614_4_C76VFACXX,0.07441596489079202,0.02449082612266642,0.0,0.0,0.05926158610208909,0.008485725124125614,0.0,0.0,0.024808517832258983,0.013708812230627348,0.0,0.0,0.0,0.06264176711417407,0.0035600838898459824,0.04780502457864801,0.1157774931217763,0.13062457992416482,0.0,0.0037339737269090393,0.0,0.0,0.07522344104919114,0.0,0.0,0.0023451714330636956,0.0,0.0,0.0665336633973403,0.04879667772755329,0.0,0.06927979228904378,0.022411435028741458,0.0,0.033401637184519724,0.031918301422764195,0.0,0.03350498903510144,0.0,0.0,0.0030649743482623433,0.0,0.04208685098883841,0.00211871143750268
Sample_2_Adult_WT_090614_1_C76VFACXX,0.0738015618963331,0.018246211904718333,0.0,0.0,0.044967091069798924,0.008639928791326653,0.0,0.0,0.02578966552591637,0.019481373431501563,0.0,0.0,0.0,0.05622331825163466,0.006118647790435741,0.021006112805112675,0.14026992452690695,0.12836793202770813,0.0,0.017088083696277356,0.0,0.0,0.10065548627839135,0.0,0.0,0.001269706468618236,0.0,0.0,0.053977727564661085,0.04593025654173255,0.0,0.06595517802753058,0.03167263548293931,0.0,0.03224709446619514,0.03120645133525681,0.0,0.020848858964855173,0.0,0.020254050261440504,0.003668119518264804,0.0,0.026008548331697627,0.006306035040746406
